,brand,jenis,bentuk_formula
488,SPEEDGRO ,NPK padat,Tepung (Powder)
489,Asgro,Hayati Majemuk,Cair (Liquid)
490,YARAMILA WINNER,NPK padat,Butiran (Granular)
491,MIKROTAN,Lainnya,Tepung (Powder)
492,BIG phospor,Lainnya,Cair (Liquid)
493,JADI MAS,NPK padat,Butiran (Granular)
494,AGRO YULI,Hayati Tunggal,Cair (Liquid)
495,TRICHOZYM,Hayati Tunggal,Cair (Liquid)
496,BAPAK IBU TANI,NPK padat,Butiran (Granular)
497,ZINKCAL,Lainnya,Tepung (Powder)
498,PR PANEN RAYA,Dolomit,Tepung (Powder)
499,CAP TAWON,Kaptan,Tepung (Powder)
500,NITROKU,NPK padat,Butiran (Granular)
501,TRIPELIN,NPK padat,Tepung (Powder)
502,PETRO BIOPALM,Hayati Majemuk,Tepung (Powder)
503,Daun Sawit,Lainnya,Tepung (Powder)
504,STAR DOLOMITE,Dolomit,Tepung (Powder)
505,NIXI,Lainnya,Cair (Liquid)
506,DIVINE 600,Pupuk Organik,Tepung (Powder)
507,TURRIMAGOLD,NPK padat,Butiran (Granular)
508,goldensoil,Hayati Majemuk,Cair (Liquid)
509,SANTAPHOS,Hara Makro Majemuk,Butiran (Granular)
510,FT,NPK padat,Butiran (Granular)
511,Fertolamic,Hayati Majemuk,Tepung (Powder)
512,APH BIO BIAGMA,Senyawa Humat,Tepung (Powder)
513,FAST TOP,Lainnya,Cair (Liquid)
514,GFERT GEMILANG,Dolomit,Tepung (Powder)
515,Mahkota Fertilizer,Kalium Klorida (KCl),Butiran (Granular)
516,SUPEKCL,Lainnya,Cair (Liquid)
517,PanganKu,Hayati Majemuk,Cair (Liquid)
518,Amiboost,Hara Makro Majemuk,Cair (Liquid)
519,GROPRINT,Hara Makro Majemuk,Cair (Liquid)
520,CANTIK,Ammonium Nitrat,Butiran (Granular)
521,Nama/Merek Dagang *,Senyawa Humat,Prill
522,MAGIC CALSIUM,Lainnya,Tepung (Powder)
523,RabanaSol,Lainnya,Tepung (Powder)
524,SanBlend,NPK padat,Butiran (Granular)
525,RHIZOTRENT,Hayati Tunggal,Tepung (Powder)
526,MENTARI,Amonium Sulfat (ZA),Butiran (Granular)
527,SAMZEO,Zeolit,Butiran (Granular)
528,Petro Kimiganik,Pupuk Organik,Butiran (Granular)
529,CAP MATAHARI TERBIT,Dolomit,Tepung (Powder)
530,GLB,Senyawa Humat,Tepung (Powder)
531,AOA,Hayati Majemuk,Cair (Liquid)
532,GRO,NPK padat,Tepung (Powder)
533,MGO -36 PLUS,Lainnya,Butiran (Granular)
534,MAMIGRO,NPK padat,Tepung (Powder)
535,BASFOLIAR COMBI STIPP,Lainnya,Cair (Liquid)
536,YARAMILA PALMAE,NPK padat,Butiran (Granular)
537,PUKOR TESTING 22 NOV,Pupuk Organik,Pelet
538,IMPETUS,NPK padat,Butiran (Granular)
539,ANN BIO PLUSH,Hayati Majemuk,Cair (Liquid)
540,testanorganikSK,Hara Micro Tunggal,Pelet
541,ASIA MIKRO EDTA,Hara Micro Tunggal,Tepung (Powder)
542,Prima+,Organik,Butiran (Granular)
543,Cap Batang Sawit,Dolomit,Tepung (Powder)
544,TaBurMas,Hayati Majemuk,Cair (Liquid)
545,PRIMATRUBUSEVIT,Lainnya,Cair (Liquid)
546,KANDANG DAMAR,Hayati Majemuk,Cair (Liquid)
547,SAMHUMAT,Organik,Tepung (Powder)
548,PEAT-Kay Plus,NPK padat,Butiran (Granular)
549,NUTRI-PRIMA CAN,Calsium Nitrat,Butiran (Granular)
550,CAP DAUN,Triple Super Fosfat (TSP),Butiran (Granular)
551,Mahkota Fertilizer,NPK padat,Butiran (Granular)
552,POF-M5,Pupuk Organik,Butiran (Granular)
553,GDM,Pupuk Organik,Cair (Liquid)
554,BINTANG JAYA TANI,NPK padat,Butiran (Granular)
555,ATLANTIK,Pupuk Organik,Cair (Liquid)
556,FLOURISHER,Pupuk Organik,Cair (Liquid)
557,LOKESWARA,Fosfat Alam untuk pertanian,Butiran (Granular)
558,KANCIL EMAS,NPK padat,Butiran (Granular)
559,CAP DAUN,Fosfat Alam untuk pertanian,Tepung (Powder)
560,Mentari,Urea,Butiran (Granular)
561,HX-DAP,Diammonium Phosphate,Butiran (Granular)
562,CAP DAUN,Diammonium Phosphate,Butiran (Granular)
563,FORGANIK,Pupuk Organik,Lain-lainnya
564,Mahkota Fertilizer,Single Super Phosphate (SSP),Butiran (Granular)
565,cap SINGA.mgo,Lainnya,Butiran (Granular)
566,NAGAMAS AS SEJATI,Pupuk Organik,Butiran (Granular)
567,BIOTECH Plus,Pupuk Organik,Lain-lainnya
568,BINTANG KUDA LAUT,Fosfat Alam untuk pertanian,Butiran (Granular)
569,DGW,NPK padat,Butiran (Granular)
570,ACCUDO,Hayati Tunggal,Cair (Liquid)
571,MAHESA,Lainnya,Butiran (Granular)
572,NEW FAJAR TERBIT,NPK padat,Butiran (Granular)
573,HI-ZEO,Kaptan,Tepung (Powder)
574,GUNUNG KAPUR,Dolomit,Tepung (Powder)
575,VigoAmino,Pupuk Organik,Butiran (Granular)
576,CAHAYA MAS,NPK padat,Butiran (Granular)
577,FERTICOMP,NPK padat,Butiran (Granular)
578,ANGBIO,Senyawa Humat,Cair (Liquid)
579,"""PH""",NPK padat,Butiran (Granular)
580,KAKIMAS,Dolomit,Tepung (Powder)
581,AKASIA,NPK padat,Butiran (Granular)
582,LAO YING,Lainnya,Lain-lainnya
583,MICROGANO,Lainnya,Cair (Liquid)
584,N-ZEO-SR PLUS,Lainnya,Butiran (Granular)
585,PORNAS,Pupuk Organik,Tepung (Powder)
586,NEO-KRISTALON PAK TANI,NPK padat,Lain-lainnya
587,Humactive,Senyawa Humat,Tepung (Powder)
588,RG,NPK padat,Tepung (Powder)
589,DOGUMON,Pupuk Organik,Cair (Liquid)
590,TERAHUMIC,Senyawa Humat,Tepung (Powder)
591,Hi-Gro-Bio,NPK padat,Butiran (Granular)
592,MUTIARA sawit dan karet,Dolomit,Butiran (Granular)
593,TSPA,Dolomit,Butiran (Granular)
594,Vedagro,Pupuk Organik,Butiran (Granular)
595,LINTANG SONGO,NPK padat,Butiran (Granular)
596,CAP DAUN,Lainnya,Lain-lainnya
597,PN PAK TANI,Potassium Nitrat,Lain-lainnya
598,javagreen,Kaptan,Butiran (Granular)
599,YEASE+,Pupuk Organik,Cair (Liquid)
600,CHAESONARA,NPK padat,Butiran (Granular)
601,JADI MAS,Fosfat Alam untuk pertanian,Lain-lainnya
602,BREKTA,Pupuk Organik,Cair (Liquid)
603,KALEX,Lainnya,Cair (Liquid)
604,BARUCHEM,Hara Micro Tunggal,Tepung (Powder)
605,CAKRA PANDAWA,Nitrogen Phosphate,Butiran (Granular)
606,SPGRO,Hara Makro Majemuk,Cair (Liquid)
607,CAKRA PANDAWA,Lainnya,Butiran (Granular)
608,ICARO,Hara Makro Majemuk,Cair (Liquid)
609,MUTIARA sawit dan karet,NPK padat,Butiran (Granular)
610,PLANTONIC MESS,NPK padat,Butiran (Granular)
611,COFOLI K300,Lainnya,Cair (Liquid)
612,LAKABA,Lainnya,Butiran (Granular)
613,HUMATOP,Senyawa Humat,Cair (Liquid)
614,BIOFARM,Pupuk Organik,Lain-lainnya
615,SPEEDGRO ,NPK padat,Tepung (Powder)
616,AGRO KING,Lainnya,Cair (Liquid)
617,FT,NPK padat,Butiran (Granular)
618,S'PER KOMPO'S,Pupuk Organik,Tepung (Powder)
619,Petro Agrotek,Pupuk Organik,Butiran (Granular)
620,BIO SSN 1,Pupuk Organik,Lain-lainnya
621,UNION,NPK padat,Butiran (Granular)
622,MASTER KING,Hara Makro Majemuk,Cair (Liquid)
623,AMINOAGE,Pupuk Organik,Cair (Liquid)
624,BAMINATE,Hara Makro Majemuk,Cair (Liquid)
625,PHONSKA,NPK padat,Butiran (Granular)
626,BELLARUSIA,NPK padat,Butiran (Granular)
627,MASKOTA,Lainnya,Lain-lainnya
628,RAJAPHOS,Dolomit,Butiran (Granular)
629,PETRO-CAS,Lain - lainnya.,Tepung (Powder)
630,MULTIERA,NPK padat,Butiran (Granular)
631,ZAGROW,Lainnya,Butiran (Granular)
632,CAP TAWON,Fosfat Alam untuk pertanian,Butiran (Granular)
633,KIAT,Kaptan,Tepung (Powder)
634,Daun Sawit,Amonium Sulfat (ZA),Tepung (Powder)
635,MOAF SATU (M-1),Lainnya,Tepung (Powder)
636,GLB,Pupuk Organik,Tepung (Powder)
637,Mikotrent,Hayati Majemuk,Cair (Liquid)
638,PUPUK KUJANG,NPK padat,Butiran (Granular)
639,BASACOTE,NPK padat,Butiran (Granular)
640,Mahkota Fertilizer,NPK padat,Butiran (Granular)
641,PANJU PANJUNG,Hayati Majemuk,Cair (Liquid)
642,R 36,Dolomit,Butiran (Granular)
643,PANCANUTRI,Hayati Majemuk,Cair (Liquid)
644,NATUR-MAG,Lainnya,Tepung (Powder)
645,Neoroot,Hayati Tunggal,Tepung (Powder)
646,IJOREN,Kalium Klorida (KCl),Tepung (Powder)
647,FloraOne,Hayati Majemuk,Tepung (Powder)
648,TRICOBA,Hayati Tunggal,Lain-lainnya
649,PEDALL,Hayati Tunggal,Lain-lainnya
650,Pupindo,NPK padat,Butiran (Granular)
651,BLESS,NPK padat,Butiran (Granular)
652,Buah Ndaru,Pupuk Organik,Cair (Liquid)
653,Formula 100+,Hayati Majemuk,Cair (Liquid)
654,PURNAMA BIO,Hayati Majemuk,Cair (Liquid)
655,HB-101,Lainnya,Cair (Liquid)
656,SAFA,Hara Micro Tunggal,Tepung (Powder)
657,PHOSGRO,Fosfat Alam untuk pertanian,Butiran (Granular)
658,AGSEAMAX ,Pupuk Organik,Cair (Liquid)
659,DECOURINE,Hayati Majemuk,Tepung (Powder)
660,MASTER BIG,Lainnya,Tepung (Powder)
661,PUKASA,NPK padat,Butiran (Granular)
662,CIEWIDEY,Senyawa Humat,Tepung (Powder)
663,MICROFERTI MAGNET,Senyawa Humat,Cair (Liquid)
664,GREENTOP,Pupuk Organik,Cair (Liquid)
665,PuTri SatPadhi,Pupuk Organik,Tepung (Powder)
666,VERICAL,Pupuk Organik,Cair (Liquid)
667,PETRO NIPHOS,Hara Makro Majemuk,Butiran (Granular)
668,ViganoSC,Pupuk Organik,Lain-lainnya
669,VINEGRA,Hayati Majemuk,Cair (Liquid)
670,GANDASIL D,NPK padat,Lain-lainnya
671,Mahkota Fertilizer ,Lainnya,Butiran (Granular)
672,PUPINDO,NPK padat,Butiran (Granular)
673,Mitra Tani Organik (MITO),Pupuk Organik,Lain-lainnya
674,EXTRA green,Hara Makro Majemuk,Cair (Liquid)
675,PUSRI,Urea,Prill
676,GENERATE,Lainnya,Cair (Liquid)
677,TOP G2,Pupuk Organik,Cair (Liquid)
678,Oligo Copper-EDTA,Hara Micro Tunggal,Butiran (Granular)
679,KANCIL EMAS,NPK padat,Butiran (Granular)
680,TRUMBUSAN,Lainnya,Cair (Liquid)
681,ANIG 16 Plus,NPK padat,Butiran (Granular)
682,RabanaSol,Lainnya,Tepung (Powder)
683,PHONIKA,NPK padat,Butiran (Granular)
684,goldensoil,Pupuk Organik,Tepung (Powder)
685,PHONSKA,NPK padat,Butiran (Granular)
686,CIPMAPE CIPMAKING,Hara Makro Majemuk,Butiran (Granular)
687,AGRO FERTIL,Dolomit,Tepung (Powder)
688,SS,Pupuk Organik,Lain-lainnya
689,Impresol,Senyawa Humat,Lain-lainnya
690,GOORGA,Dolomit,Butiran (Granular)
691,OZUL,Pupuk Organik,Cair (Liquid)
692,BELLARUSIA,NPK padat,Butiran (Granular)
693,ACCUDO,Hayati Tunggal,Cair (Liquid)
694,SABA,Dolomit,Tepung (Powder)
695,Daebak,Lainnya,Tepung (Powder)
696,AZOTRENT,Hayati Majemuk,Tepung (Powder)
697,BELLRUSS,Kalium Klorida (KCl),Tepung (Powder)
698,BASFOLIAR Kelp Premium,Lainnya,Cair (Liquid)
699,Namira,Pupuk Organik,Cair (Liquid)
700,EVAPROS,Hayati Majemuk,Tepung (Powder)
701,SABA,Dolomit,Tepung (Powder)
702,JATI WANGI,NPK padat,Butiran (Granular)
703,DAUN CENDANA,NPK padat,Butiran (Granular)
704,Anti Asam,Lainnya,Butiran (Granular)
705,PEAT-Kay Bio,Lainnya,Butiran (Granular)
706,SPEEDGRO ,NPK padat,Tepung (Powder)
707,EUROSOIL VZ EDTA,Hara Micro Tunggal,Butiran (Granular)
708,BIOSILKA,Hara Makro Majemuk,Cair (Liquid)
709,BEENTOP,Lainnya,Cair (Liquid)
710,HANTU,Pupuk Organik,Cair (Liquid)
711,DAPISTAR,Hayati Majemuk,Tepung (Powder)
712,BLESS,Hara Makro Majemuk,Butiran (Granular)
713,TNT,Lainnya,Tepung (Powder)
714,ROUND STAR,NPK padat,Butiran (Granular)
715,TANISES,Pupuk Organik,Cair (Liquid)
716,CALNITRAT,Calsium Nitrat,Butiran (Granular)
717,Petrokimia Gresik,Pupuk Organik,Butiran (Granular)
718,AKASIA,Kalium Klorida (KCl),Butiran (Granular)
719,APDIL APDILAH FERTILIZER,Lainnya,Butiran (Granular)
720,RabanaSol,Lainnya,Tepung (Powder)
721,APH BIO BIAGMA,Senyawa Humat,Tepung (Powder)
722,ENRICH,Pupuk Organik,Tepung (Powder)
723,Mahkota Fertilizer,Lainnya,Butiran (Granular)
724,Tunas Makmur Organik,Pupuk Organik,Tepung (Powder)
725,GREEN DIAMOND,Dolomit,Butiran (Granular)
726,NITROKU,NPK padat,Butiran (Granular)
727,BELLARUSIA,Triple Super Fosfat (TSP),Butiran (Granular)
728,CAP KUDA SAKTI,Triple Super Fosfat (TSP),Butiran (Granular)
729,MerokeZA,Amonium Sulfat (ZA),Lain-lainnya
730,GANO T,Hayati Tunggal,Tepung (Powder)
731,VIGROW,Lainnya,Cair (Liquid)
732,ABABIL,Pupuk Organik,Butiran (Granular)
733,P. PHOSKA,NPK padat,Butiran (Granular)
734,HI-GRADE,NPK padat,Tepung (Powder)
735,pomalbiorhyzo,Hayati Majemuk,Tepung (Powder)
736,Fajarmas,Pupuk Organik,Butiran (Granular)
737,GOLDEN ZIP,Lainnya,Lain-lainnya
738,ETIROGANIK,Pupuk Organik,Butiran (Granular)
739,GOHAN 37,Pupuk Organik,Butiran (Granular)
740,Mutiara GROWER,NPK padat,Prill
741,ORREX INDONESIA,Hayati Majemuk,Cair (Liquid)
742,HAYATI NP BOOSTER,Hayati Majemuk,Tepung (Powder)
743,Byson Mas,Kaptan,Butiran (Granular)
744,WANG NUNG,Pupuk Organik,Cair (Liquid)
745,MIKROSIL,Lainnya,Tepung (Powder)
746,Phanbon Malaka,Dolomit,Tepung (Powder)
747,LAO YING,Mono Ammonium Phosphate,Tepung (Powder)
748,BILLIZER,Organik,Cair (Liquid)
749,CAKRA,Mono Ammonium Phosphate,Tepung (Powder)
750,BIOWINPRO,Hayati Majemuk,Cair (Liquid)
751,IMPROBIOTM (BIO-ORGANIC FERTILIZER),Pupuk Organik,Tepung (Powder)
752,TRIPELIN,NPK padat,Tepung (Powder)
753,Vittalis,Lainnya,Cair (Liquid)
754,PUSRI,NPK padat,Butiran (Granular)
755,APH BIO BIAGMA,Hayati Majemuk,Cair (Liquid)
756,MEGA_BIO-Gen8,Pupuk Organik,Butiran (Granular)
757,BAI KALIUM CAIR,Lainnya,Cair (Liquid)
758,TOPSIL,Lainnya,Tepung (Powder)
759,IMPROBIO™ (BIO – ORGANIC FERTILIZER),Pupuk Organik,Butiran (Granular)
760,FORMULA X,Hayati Majemuk,Cair (Liquid)
761,ACELE,Pupuk Organik,Cair (Liquid)
762,S-KALI SPECIAL 44+B,NPK padat,Butiran (Granular)
763,PUPINDO,NPK padat,Butiran (Granular)
764,KEBOMAS,NPK padat,Butiran (Granular)
765,Mutiara,NPK padat,Prill
766,DABAN,Super Fosfat (SP-36),Butiran (Granular)
767,LODRIN,Hayati Majemuk,Cair (Liquid)
768,BOSSEGA,Pupuk Organik,Butiran (Granular)
769,HI-ZEO,Dolomit,Tepung (Powder)
770,JET GROW 007,Lainnya,Cair (Liquid)
771,P2O,Pupuk Organik,Cair (Liquid)
772,AGRIMORE-K,NPK padat,Butiran (Granular)
773,Sentosa,Pupuk Organik,Butiran (Granular)
774,M-100,Dolomit,Tepung (Powder)
775,BINTANG TANI,NPK padat,Butiran (Granular)
776,GOLDTECH,Hara Makro Majemuk,Cair (Liquid)
777,KuiCiLa bRAeJA JOSSSVIT,Lainnya,Cair (Liquid)
778,MAMIGRO,NPK padat,Tepung (Powder)
779,COCKHEAD,NPK padat,Butiran (Granular)
780,FT,Diammonium Phosphate,Butiran (Granular)
781,ZENPRO MIX,Lainnya,Cair (Liquid)
782,HANOMAN STD,Organik,Lain-lainnya
783,GNF SP 36,Dolomit,Butiran (Granular)
784,MIKROHARA,Pupuk Organik,Cair (Liquid)
785,BEN SUBUR,Pupuk Organik,Cair (Liquid)
786,NutriTop,NPK padat,Tepung (Powder)
787,AGRISOL,Hayati Majemuk,Cair (Liquid)
788,CAP MAGSKA,Lainnya,Butiran (Granular)
789,HARAKU,Lainnya,Butiran (Granular)
790,PADI SAWIT,Dolomit,Butiran (Granular)
791,NATURES99,Pupuk Organik,Butiran (Granular)
792,NutriTop,Hara Micro Tunggal,Tepung (Powder)
793,New FAJAR TERBIT,Dolomit,Butiran (Granular)
794,AGRO KING,Lainnya,Cair (Liquid)
795,VITALA,Lainnya,Tepung (Powder)
796,UTAH,Lainnya,Butiran (Granular)
797,S-VIT,Lainnya,Tepung (Powder)
798,MagneWish,Lain - lainnya.,Butiran (Granular)
799,SUPRA PHOS 36,Dolomit,Butiran (Granular)
800,FARROS,Lainnya,Cair (Liquid)
801,BoshTop,NPK padat,Tepung (Powder)
802,ZYMO BIOGROW,Hayati Tunggal,Tepung (Powder)
803,KAL STAR,Hara Makro Majemuk,Lain-lainnya
804,J.E,Pupuk Organik,Tepung (Powder)
805,MYCOgold plus PSB,Hayati Tunggal,Butiran (Granular)
806,EXCALIBUR GOLD,Hayati Tunggal,Tepung (Powder)
807,FT,Kalium Klorida (KCl),Tepung (Powder)
808,HORTIMAS,NPK padat,Tepung (Powder)
809,NEO KRISTALON,NPK padat,Tepung (Powder)
810,Supratonik,Lainnya,Tepung (Powder)
811,SS (AMMOPHOS),Hara Makro Majemuk,Butiran (Granular)
812,MENTARI,NPK padat,Lain-lainnya
813,FT,Ammonium chlorida,Tepung (Powder)
814,FERTINDO,NPK padat,Butiran (Granular)
815,MPS ORGANIK SUPER,Pupuk Organik,Lain-lainnya
816,BENAPOST,Hayati Majemuk,Cair (Liquid)
817,Mahkota Fertilizer,Lainnya,Butiran (Granular)
818,FORBEST,Lainnya,Tepung (Powder)
819,MUSTIKA TANI,Dolomit,Butiran (Granular)
820,TURRIMA,Lainnya,Tepung (Powder)
821,JU GRIEN,Organik,Cair (Liquid)
822,PUPUK JOSS,Hayati Tunggal,Pelet
823,PETRO BIO,Hayati Majemuk,Butiran (Granular)
824,SPEEDGRO,NPK padat,Butiran (Granular)
825,GREENWORLD,Lainnya,Cair (Liquid)
826,GUNASIL,Lainnya,Butiran (Granular)
827,IMPETUS,NPK padat,Butiran (Granular)
828,MS3PO,Lainnya,Butiran (Granular)
829,BEENSAE,Hayati Majemuk,Tepung (Powder)
830,BELLARUSIA,NPK padat,Butiran (Granular)
831,EXCOW,Pupuk Organik,Butiran (Granular)
832,AGROBLEN,NPK padat,Butiran (Granular)
833,LODRIN,NPK padat,Butiran (Granular)
834,Ribost,Hayati Tunggal,Cair (Liquid)
835,BROUSORS,Lainnya,Butiran (Granular)
836,BIOKONVERSI,Hayati Majemuk,Cair (Liquid)
837,BOBOT,Hara Makro Majemuk,Cair (Liquid)
838,INSTAGRO,NPK padat,Butiran (Granular)
839,MULTIERA,NPK padat,Butiran (Granular)
840,AKP,Kalium Klorida (KCl),Lain-lainnya
841,GDM,Hayati Majemuk,Cair (Liquid)
842,MYESHA HARA,Dolomit,Butiran (Granular)
843,AGRIMETH,Hayati Majemuk,Tepung (Powder)
844,PLANTONIC MESS,Pupuk Organik,Cair (Liquid)
845,STI,NPK padat,Tepung (Powder)
846,Ultrasoline,Potassium Nitrat,Lain-lainnya
847,HOLAND,Lainnya,Butiran (Granular)
848,PENNA,Pupuk Organik,Butiran (Granular)
849,test1,WHC,Cair (Liquid)
850,BIOCHEMS,Pupuk Organik,Cair (Liquid)
851,7ungan,Pupuk Organik,Butiran (Granular)
852,PUPUK INDONESIA HOLDING COMPANY,Urea,Prill
853,HUMEGA CRUMBLES,Pupuk Organik,Lain-lainnya
854,FITOMIC,Lainnya,Cair (Liquid)
855,AKASIA,NPK padat,Butiran (Granular)
856,TURBO MAX,Pupuk Organik,Cair (Liquid)
857,ANDALAN CALNIT,Calsium Nitrat,Butiran (Granular)
858,CAKRA PANDAWA,Lainnya,Tepung (Powder)
859,EMAS,Hayati Majemuk,Butiran (Granular)
860,BIOTA plus,Pupuk Organik,Cair (Liquid)
861,JADI MAS,NPK padat,Butiran (Granular)
862,PAK TANI,Dolomit,Tepung (Powder)
863,LOONGZOU,Fosfat Alam untuk pertanian,Tepung (Powder)
864,BIOSTICK,Lainnya,Cair (Liquid)
865,Mahkota ,NPK padat,Butiran (Granular)
866,BER-NAS,Pupuk Organik,Tepung (Powder)
867,NOVA,Mono Ammonium Phosphate,Lain-lainnya
868,BME-17,Pupuk Organik,Tepung (Powder)
869,MATA INTAN,Lainnya,Butiran (Granular)
870,IMMUNATE,Lainnya,Cair (Liquid)
871,SAGO,Pupuk Organik,Butiran (Granular)
872,AGN LTE,Hayati Majemuk,Cair (Liquid)
873,PRAZAK,Hayati Majemuk,Cair (Liquid)
874,GADING NUSANTARA,NPK padat,Tepung (Powder)
875,CAP TANI JAYA,Fosfat Alam untuk pertanian,Tepung (Powder)
876,SUPER INTERFOS,Lainnya,Lain-lainnya
877,LABA LABA,Lainnya,Cair (Liquid)
878,COCKHEAD,NPK padat,Butiran (Granular)
879,DEWA DEWI,Lainnya,Tepung (Powder)
880,BERMAS,Pupuk Organik,Tepung (Powder)
881,MIKROMATE Mag,Lainnya,Butiran (Granular)
882,Mahkota Fertilizer,NPK padat,Butiran (Granular)
883,PUPUK KUJANG,NPK padat,Tepung (Powder)
884,PELANGI,NPK padat,Butiran (Granular)
885,MULTI NP,Nitrogen Phosphate,Tepung (Powder)
886,Lembu Lestari,Pupuk Organik,Cair (Liquid)
887,ROOTONE F,Lainnya,Cair (Liquid)
888,KEBOMAS,NPK padat,Butiran (Granular)
889,BIO SSN 2,Organik,Cair (Liquid)
890,PAK TANI,Fosfat Alam untuk pertanian,Tepung (Powder)
891,RENCONG MAS,Lainnya,Butiran (Granular)
892,JAPANI,Hayati Majemuk,Cair (Liquid)
893,Mentari,NPK padat,Butiran (Granular)
894,HARACOAT,Amonium Sulfat (ZA),Butiran (Granular)
895,ARJUNA,NPK padat,Butiran (Granular)
896,JIMATHE,Pupuk Organik,Cair (Liquid)
897,BAI SUPER GROW,Lainnya,Cair (Liquid)
898,BUNGA MERAH,Kalium Klorida (KCl),Butiran (Granular)
899,LIBERO,Hayati Majemuk,Tepung (Powder)
900,VAKSI - K,Lainnya,Cair (Liquid)
901,MULTI JAGUNG,Hara Makro Majemuk,Tepung (Powder)
902,Sugih Tani,Pupuk Organik,Cair (Liquid)
903,NatureGEN,Hayati Majemuk,Cair (Liquid)
904,FORTUNE,Lainnya,Tepung (Powder)
905,PRIMALOKA,Pupuk Organik,Tepung (Powder)
906,PAK TANI,NPK padat,Butiran (Granular)
907,CAP TANI JAYA,Triple Super Fosfat (TSP),Butiran (Granular)
908,Pendimax,Hara Makro Majemuk,Cair (Liquid)
909,PUPUK PERKASA,Pupuk Organik,Lain-lainnya
910,NutriTop,NPK padat,Tepung (Powder)
911,PROVIBIO,Hayati Majemuk,Cair (Liquid)
912,BenSil+,Lainnya,Cair (Liquid)
913,BRE4,Hayati Majemuk,Cair (Liquid)
914,VAM gold,Hayati Tunggal,Butiran (Granular)
915,Simbah Boos,Pupuk Organik,Tepung (Powder)
916,Pro RAJANE,Lainnya,Cair (Liquid)
917,FERTICOMP,NPK padat,Butiran (Granular)
918,PT. BERKAT KARUNIA DAMAI,Fosfat Alam untuk pertanian,Butiran (Granular)
919,PELANGI,NPK padat,Butiran (Granular)
920,Dara,Hara Makro Majemuk,Cair (Liquid)
921,MBAHZERO,Hara Makro Majemuk,Cair (Liquid)
922,PUPUK KUJANG,NPK padat,Prill
923,NUTRI-PRIMA BASE,Hara Makro Majemuk,Butiran (Granular)
924,KALSIDA,Lainnya,Cair (Liquid)
925,HANTU,Hayati Majemuk,Cair (Liquid)
926,Bio Green,Pupuk Organik,Tepung (Powder)
927,INDOBOOM,Pupuk Organik,Butiran (Granular)
928,AGRIANT MAS,NPK padat,Butiran (Granular)
929,GG,Pupuk Organik,Cair (Liquid)
930,TERRABIO,Hayati Majemuk,Tepung (Powder)
931,SATO-KALI SPECIAL 44+B,NPK padat,Butiran (Granular)
932,ZEOLITE BEST,Zeolit,Tepung (Powder)
933,BOSSQUE,Pupuk Organik,Lain-lainnya
934,GROW MORE,NPK padat,Tepung (Powder)
935,NPK GURITA,Lainnya,Tepung (Powder)
936,SUPRATAN,Lainnya,Tepung (Powder)
937,Ansell,Pupuk Organik,Lain-lainnya
938,Kijang,Lainnya,Butiran (Granular)
939,BUAH NDARU,Pupuk Organik,Lain-lainnya
940,SHIMA,Lainnya,Butiran (Granular)
941,ROOTONE F,Pupuk Organik,Cair (Liquid)
942,GreenGANIK,Pupuk Organik,Butiran (Granular)
943,Tebu Ijo,Hara Makro Majemuk,Prill
944,SEA WINNER CALBOTAS,Lainnya,Cair (Liquid)
945,ROOTONE F,Pupuk Organik,Cair (Liquid)
946,CAP TANI JAYA,Fosfat Alam untuk pertanian,Butiran (Granular)
947,BOOSTER DGW,NPK padat,Butiran (Granular)
948,Nagamas,NPK padat,Butiran (Granular)
949,NutriTop,Hara Makro Majemuk,Butiran (Granular)
950,PLANTA PLUS,NPK padat,Tablet
951,ENVIRO,NPK padat,Butiran (Granular)
952,RIZAVIT,Lainnya,Cair (Liquid)
953,Mutiara SPRINTER,NPK padat,Prill
954,KUR BOJOE,Pupuk Organik,Lain-lainnya
955,N-RICH,Fosfat Alam untuk pertanian,Tepung (Powder)
956,BASFOLIAR AKTIV,Lainnya,Cair (Liquid)
957,PULLET,NPK padat,Butiran (Granular)
958,MIKROMAS ,Lainnya,Tepung (Powder)
959,ESTU,Pupuk Organik,Butiran (Granular)
960,PATEN,Pupuk Organik,Cair (Liquid)
961,FT,Ammonium chlorida,Butiran (Granular)
962,BM KIESERBOR,Lainnya,Tepung (Powder)
963,SANTAGROW,Lainnya,Cair (Liquid)
964,PROPHOS KAYAKO,Dolomit,Butiran (Granular)
965,P11,Hayati Majemuk,Cair (Liquid)
966,HX-RP,Fosfat Alam untuk pertanian,Tepung (Powder)
967,BELLARUSIA,Dolomit,Tepung (Powder)
968,BIOPHOSGANIK,Pupuk Organik,Cair (Liquid)
969,Eco Pest Bio,Hayati Majemuk,Cair (Liquid)
970,Valdi's GROW,Hayati Majemuk,Cair (Liquid)
971,BAPAK IBU TANI,NPK padat,Lain-lainnya
972,Cap Bunga Merah,Kalium Klorida (KCl),Butiran (Granular)
973,Evermax Controlled Release Fertilizer,NPK padat,Butiran (Granular)
974,EVERGREEN,Pupuk Organik,Cair (Liquid)
975,DOCTAH,Organik,Cair (Liquid)
976,AGRITAMA,NPK padat,Butiran (Granular)
977,EvaGROW,Hayati Majemuk,Cair (Liquid)
978,COTRAN,Hara Makro Majemuk,Lain-lainnya
979,RUBI,Dolomit,Tepung (Powder)
980,ETIROGANIK,Pupuk Organik,Lain-lainnya
